RULE,ENABLED,PRETTY_NAME,COLOR
single_input,0,,
file_input,0,,
eval_input,0,,
decorator,0,,
decorators,0,,
decorated,0,,
funcdef,1,Function Definitions,#AEC6CF
parameters,1,Parameters,#FFB347
typedargslist,0,,
tfpdef,0,,
varargslist,0,,
vfpdef,0,,
stmt,0,,
simple_stmt,0,,
small_stmt,0,,
expr_stmt,0,,
testlist_star_expr,0,,
augassign,1,Augmented Assignment,#00FFFF
del_stmt,0,,
pass_stmt,1,Pass Statements,#FDFD96
flow_stmt,0,,
break_stmt,1,Break Statement,#00FFA0
continue_stmt,0,,
return_stmt,1,Return Statements,#EECCFF
yield_stmt,0,,
raise_stmt,0,,
import_stmt,0,,
import_name,1,Import Statement,#FF6666
import_from,0,,
import_as_name,0,,
dotted_as_name,0,,
import_as_names,0,,
dotted_as_names,0,,
dotted_name,0,,
global_stmt,0,,
nonlocal_stmt,0,,
assert_stmt,0,,
compound_stmt,0,,
if_stmt,1,If Statements,#FFFF00
while_stmt,1,While Loops,#F0E68C
for_stmt,1,For Loops,#F7ABAB
try_stmt,1,Try Statements,#CCCCFF
with_stmt,0,,
with_item,0,,
except_clause,1,Except Clauses,#779ECB
suite,0,,
test,0,,
test_nocond,0,,
lambdef,0,,
lambdef_nocond,0,,
or_test,0,,
and_test,0,,
not_test,0,,
comparison,0,,
comp_op,1,Comparison Operator,#DAA520
star_expr,0,,
expr,1,Expressions,#F0ABF7
xor_expr,0,,
and_expr,1,And,#F0E68C
shift_expr,0,,
arith_expr,1,Arithmetic Expression,#FFA500
term,0,,
factor,0,,
power,0,,
trailed_atom,0,,
atom,1,Atoms,#ABDBF7
testlist_comp,0,,
trailer,0,,
subscriptlist,0,,
subscript,0,,
sliceop,0,,
exprlist,0,,
testlist,0,,
dictorsetmaker,1,Dictionary,#00FF7F
classdef,1,Class Definitions,#03C03C
arglist,0,,
argument,1,Arguments,#EAF7AB
comp_iter,0,,
comp_for,0,,
comp_if,0,,
yield_expr,0,,
yield_arg,0,,
str,1,Strings,#CAABF7
number,1,Numbers,#DEA5A4
integer,1,Integers,#ABF7C6
._EPSILON,0,,
._EOF,0,,
._INVALID,0,,
.DEF,0,,
.RETURN,0,,
.RAISE,0,,
.FROM,0,,
.IMPORT,0,,
.AS,0,,
.GLOBAL,0,,
.NONLOCAL,0,,
.ASSERT,0,,
.IF,0,,
.ELIF,0,,
.ELSE,0,,
.WHILE,0,,
.FOR,0,,
.IN,0,,
.TRY,0,,
.FINALLY,0,,
.WITH,0,,
.EXCEPT,0,,
.LAMBDA,0,,
.OR,0,,
.AND,0,,
.NOT,0,,
.IS,0,,
.NONE,0,,
.TRUE,1,Boolean (True),#FF9933
.FALSE,1,Boolean (False),#E67300
.CLASS,0,,
.YIELD,0,,
.DEL,0,,
.PASS,0,,
.CONTINUE,0,,
.BREAK,0,,
.NEWLINE,0,,
.NAME,0,,
.STRING_LITERAL,0,,
.BYTES_LITERAL,0,,
.DECIMAL_INTEGER,0,,
.OCT_INTEGER,0,,
.HEX_INTEGER,0,,
.BIN_INTEGER,0,,
.FLOAT_NUMBER,0,,
.IMAG_NUMBER,0,,
.DOT,0,,
.ELLIPSIS,0,,
.STAR,0,,
.OPEN_PAREN,0,,
.CLOSE_PAREN,0,,
.COMMA,0,,
.COLON,0,,
.SEMI_COLON,0,,
.POWER,0,,
.ASSIGN,0,,
.OPEN_BRACK,0,,
.CLOSE_BRACK,0,,
.OR_OP,0,,
.XOR,0,,
.AND_OP,0,,
.LEFT_SHIFT,0,,
.RIGHT_SHIFT,0,,
.ADD,0,,
.MINUS,0,,
.DIV,0,,
.MOD,0,,
.IDIV,0,,
.NOT_OP,0,,
.OPEN_BRACE,0,,
.CLOSE_BRACE,0,,
.LESS_THAN,0,,
.GREATER_THAN,0,,
.EQUALS,0,,
.GT_EQ,0,,
.LT_EQ,0,,
.NOT_EQ_1,0,,
.NOT_EQ_2,0,,
.AT,0,,
.ARROW,0,,
.ADD_ASSIGN,0,,
.SUB_ASSIGN,0,,
.MULT_ASSIGN,0,,
.AT_ASSIGN,0,,
.DIV_ASSIGN,0,,
.MOD_ASSIGN,0,,
.AND_ASSIGN,0,,
.OR_ASSIGN,0,,
.XOR_ASSIGN,0,,
.LEFT_SHIFT_ASSIGN,0,,
.RIGHT_SHIFT_ASSIGN,0,,
.POWER_ASSIGN,0,,
.IDIV_ASSIGN,0,,
.SKIP_,0,,
.UNKNOWN_CHAR,0,,
.INDENT,0,,
.DEDENT,0,,
